hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,30,permit,udp,10.3.88.128 0.0.0.127,host 10.3.0.10,domain
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,40,permit,udp,10.3.88.128 0.0.0.127,host 10.210.193.235,domain
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,50,permit,udp,10.3.88.128 0.0.0.127,host 10.120.193.235,domain
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,60,permit,udp,10.3.88.128 0.0.0.127,host 10.64.72.10,domain
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,70,permit,tcp,10.3.88.128 0.0.0.127,host 192.168.9.100,8080
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,80,permit,udp,10.3.88.128 0.0.0.127,host 192.168.9.100,isakmp
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,90,permit,udp,10.3.88.128 0.0.0.127,host 192.168.9.100,non500-isakmp
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,100,permit,ip,10.3.88.128 0.0.0.127,host 213.120.94.19,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,110,permit,ip,10.3.88.128 0.0.0.127,host 217.33.148.47,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,120,permit,ip,10.3.88.128 0.0.0.127,host 80.26.83.68,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,130,permit,ip,10.3.88.128 0.0.0.127,host 80.35.100.214,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,140,permit,ip,10.3.88.128 0.0.0.127,host 95.131.184.37,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,150,deny,ip,10.3.88.128 0.0.0.127,168.0.0 0.0.255.255,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,160,deny,ip,10.3.88.128 0.0.0.127,2.16.0.0 0.15.255.255,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,170,deny,ip,10.3.88.128 0.0.0.127,0.0.0.0 0.255.255.255,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,180,permit,tcp,10.3.88.128 0.0.0.127,any,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,190,permit,udp,10.3.88.128 0.0.0.127,any,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,200,permit,ip,10.3.88.128 0.0.0.127,any,
GH_FIBRESWITCH_1,FROM-GSH-WIFI,Extended,210,deny,ip,any,any,
GH_FIBRESWITCH_1,acl-wifi-testing,Extended,10,permit,udp,any,host 10.1.34.10,domain
