Aintree Equestrian Centre 1 (Main),Y,RACECOURSE,TT,10.92.26.145,10.92.27.145,DYNAMIC,DYNAMIC,wh-r_rc-aintree_03,10.96.129.145,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-aintree_03,10.96.22.130,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)", 10.96.22.128/25,10.160.224.224/27,10.161.224.224/27,10.162.224.224/27,10.163.224.224/27,10.164.224.224/27,10.165.224.224/27,10.166.224.224/27,10.167.224.224/27,,,
Aintree Equestrian Centre 2,Y,RACECOURSE,USES UNIT 3's (Equestrian Centre) ROUTER,,,,,,,,,,wh-s_rc-aintree_03_01,10.96.22.131,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",Same subnets as Aintree Equestrian Centre 1,,,,,,,,,,,
Aintree Equestrian Centre 3,Y,RACECOURSE,,,,,,,,,,,wh-s_rc-aintree_03_02,10.96.22.132,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",,,,,,,,,,,,
Aintree Equestrian Centre Chair Pavillion 1,Y,RACECOURSE,,,,,,,,,,,wh-s_rc-aintree_03_03,10.96.22.133,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",,,,,,,,,,,,
Aintree Equestrian Centre Chair Pavillion 2,Y,RACECOURSE,,,,,,,,,,,wh-s_rc-aintree_03_04,10.96.22.134,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",,,,,,,,,,,,
Aintree Equestrian Centre Embankment,Y,RACECOURSE,,,,,,,,,,,wh-s_rc-aintree_03_05,10.96.22.135,WS-C2960X-24PS-L,,,,,,,,,,,,,
Aintree Equestrian Centre West Tip,Y,RACECOURSE,,,,,,,,,,,wh-s_rc-aintree_03_06,10.96.22.136,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",,,,,,,,,,,,
Ayr Main Stand (Unit 1) Ground Floor,Y,RACECOURSE,TT,10.92.26.32,10.92.27.32,DYNAMIC,DYNAMIC,wh-r_rc-ayr_01,10.96.129.32,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-ayr_01,10.96.15.2,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.15.0/27,10.160.249.32/27,10.161.249.32/27,10.162.249.32/27,10.163.249.32/27,10.164.249.32/27,10.165.249.32/27,10.166.249.32/27,10.167.249.32/27,,,
Ayr Main Stand (Unit 2) 1st Floor,Y,RACECOURSE,TT,10.92.26.33,10.92.27.33,DYNAMIC,DYNAMIC,wh-r_rc-ayr_02,10.96.129.33,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-ayr_02,10.96.15.34,WS-C2960X-24PS-L,"15.2(3r)E1, RELEASE SOFTWARE (fc1)",10.96.15.32/27,10.160.249.64/27,10.161.249.64/27,10.162.249.64/27,10.163.249.64/27,10.164.249.64/27,10.165.249.64/27,10.166.249.64/27,10.167.249.64/27,,,
Ayr Main Stand (Unit 3) Owners/Trainers Enc,Y,RACECOURSE,USES UNIT 1's ROUTER,,,,,,,,,,wh-s_rc-ayr_01_01,10.96.15.3, WS-C2960X-24PS-L,"15.0(2a)EX5, RELEASE SOFTWARE (fc3)",Same subnets as Ayr Unit 1,,,,,,,,,,,
Bath Main Shop,Y,RACECOURSE,AR,10.92.26.148,10.92.27.148,10.101.219.5/24,157.231.107.45,wh-r_rc-bath_01,10.96.129.148,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-bath_01,10.96.23.162,WS-C2960X-24PS-L,"15.0(2)EX5, RELEASE SOFTWARE (fc1)", 10.96.23.160/27,10.160.225.64/27,10.161.225.64/27,10.162.225.64/27,10.163.225.64/27,10.164.225.64/27,10.165.225.64/27,10.166.225.64/27,10.167.225.64/27,,,
Beverley,Y,RACECOURSE,TT,10.92.26.58,10.92.27.58,STATIC,77.86.69.174/22,wh-r_rc-beverley_01,10.96.129.58,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_beverleyrc,10.96.2.34,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.2.32/27,10.160.243.160/27,10.161.243.160/27,10.162.243.160/27,10.163.243.160/27,10.164.243.160/27,10.165.243.160/27,10.166.243.160/27,10.167.243.160/27,,,
Brighton Unit 1 Grandstand,Y,RACECOURSE,AR,10.92.26.170,10.92.27.170,10.102.219.5/24,5.2.124.251,wh-r_rc-brighton_01,10.96.129.170,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-brighton_01,10.96.26.98,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.26.96/27,10.160.227.96/27,10.161.227.96/27,10.162.227.96/27,10.163.227.96/27,10.164.227.96/27,10.165.227.96/27,10.166.227.96/27,10.167.227.96/27,,,
Brighton Unit 2 Premier,Y,RACECOURSE,AR,10.92.26.171,10.92.27.171,10.102.220.5/24,5.2.124.244,wh-r_rc-brighton_02,10.96.129.171,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-brighton_02,10.96.26.130,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.26.128/27,10.160.227.128/27,10.161.227.128/27,10.162.227.128/27,10.163.227.128/27,10.164.227.128/27,10.165.227.128/27,10.166.227.128/27,10.167.227.128/27,,,
Carlisle,Y,RACECOURSE,TT,10.92.26.14,10.92.27.14,DYNAMIC,DYNAMIC,wh-r_rc-carlisle_01,10.96.129.14,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_rc-carlisle_01,10.96.15.66, WS-C2960X-24PS-L,"15.0(2a)EX5, RELEASE SOFTWARE (fc3)",10.96.15.64/27,10.160.249.96/27,10.161.249.96/27,10.162.249.96/27,10.163.249.96/27,10.164.249.96/27,10.165.249.96/27,10.166.249.96/27,10.167.249.96/27,,,
